index,query,priority,intensity
354,I have to take the hard SAT exam,1,3
65,"I need to visit the bank for work-related financial transactions, requiring careful planning and time management",1,2
795,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
363,"I have to finally find something to eat, it will be hard",1,2
67,I have to take the eventually GMAT exam,2,2
157,"I have to lastly go shopping at multiple stores, it will be deliberately",3,5
690,"I plan to explore a new hobby or activity I've been curious about, like pottery or photography",2,3
201,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
551,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
382,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
692,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
928,"I plan to dedicate time to learning something new, like a language or instrument, for personal development",2,4
911,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
351,"I have to when i can meal prep for next week, it will be easy",2,2
353,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
833,I have to take the today MCAT exam,0,2
95,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
298,I have to mow the lawn,2,1
609,I have to take the soon code exam,1,4
524,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
712,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
116,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
704,I have to apply for jobs,3,4
48,I have to take the soon physics exam,1,4
958,I have to paint a portrait,2,1
450,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
158,I have to write thank you notes,2,4
87,I have to take the today GMAT exam,0,2
513,I have to take the today GMAT exam,0,2
637,"I need to reach out to team members for updates, collaboration, or to provide support on ongoing tasks",2,2
41,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
898,"I have to required visit my grandparents, it will be tough",1,3
643,I have to watch a documentary,2,4
810,I have to prepare for the job interview,1,2
137,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
495,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
357,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
440,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
525,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
790,"I plan to dedicate time to learning something new, like a language or instrument, for personal development",2,4
764,I have to meal prep for the week,3,3
222,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
647,I have to take the soon engineering exam,1,4
196,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
792,I have to take the thorough GMAT exam,1,3
609,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
582,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
346,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
943,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
56,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
209,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
932,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
828,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
283,I have to important study for the biology exam,2,5
727,I have to take the easy code exam,2,3
713,I have to today study for the biology exam,0,5
667,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
903,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
364,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
424,I have to take the urgent GMAT exam,1,2
924,I have to study for the MCAT,2,2
631,I have to take the today math exam,0,3
533,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
544,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
211,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
406,"I have to first go to a restaurant, it will be research",2,2
542,"I plan to explore a new hobby or activity I've been curious about, like pottery or photography",2,3
324,"I have to crucial go shopping at multiple stores, it will be thorough",1,4
80,I have to take the urgent math exam,1,3
533,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
745,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
678,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
938,"I have to with haste go to the gym, it will be difficult",1,3
732,I have to meal prep for the week,2,4
705,I have to take the now MCAT exam,0,2
809,I have to organize the garage,2,1
237,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
511,"I have to eventually visit my coworker, it will be thorough",3,3
881,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
251,"I have to soon go shopping for clothes, it will be easy",2,1
874,I have to important study for the chemistry exam,2,6
813,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
158,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
630,I have to take the thorough liberal arts exam,1,3
467,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
269,I have to repair the bike,2,3
853,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
512,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
348,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
586,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
728,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
90,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
101,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
786,"I have to with haste visit my coworker, it will be swiftly",2,1
335,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
739,I plan to watch a new or favorite movie to relax and unwind after a long day,3,2
328,"I have to first go shopping at multiple stores, it will be thorough",1,3
478,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
289,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
956,I have to by tomorrow study for the biology exam,0,5
552,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
694,I have to urgent study for the code exam,2,6
984,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
664,I have to organize the garage,3,1
211,I have to intensive study for the history exam,2,5
629,I have to schedule dentist appointment,2,4
401,I have to take the today liberal arts exam,0,2
265,I have to read a book,2,4
820,"I have to last go shopping at multiple stores, it will be lengthy",1,3
498,"I have to crucial garden my plants, it will be deliberately",1,4
339,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
605,"I need to complete necessary administrative forms, a task that takes little time but needs to be done",3,1
748,I plan to watch a new or favorite movie to relax and unwind after a long day,3,2
976,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
468,"I have to required cook for my family, it will be easy",0,2
589,"I need to reach out to team members for updates, collaboration, or to provide support on ongoing tasks",2,2
709,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
650,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
20,I have to take the sometime this week english exam,2,2
514,I have to water the plants,2,1
359,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
703,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
906,I have to take the hard LSAT exam,1,3
771,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
996,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
690,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
504,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
678,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
122,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
806,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
47,I have to take the sometime this week history exam,2,2
641,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
782,I have to take the soon physics exam,1,4
790,"I plan to experience the thrill of skydiving, an adventure I've always wanted to try",2,4
373,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
788,I have to eventually study for the engineering exam,3,6
218,I have to attend yoga class,2,4
335,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
982,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
6,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
249,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
995,I have to take the now SAT exam,0,2
930,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
750,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
374,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
956,I have to go grocery shopping,1,2
520,I have to clean the house,2,1
264,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
726,"I plan to dedicate time to learning something new, like a language or instrument, for personal development",2,4
952,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
123,I have to take the urgent engineering exam,1,4
491,I have to take the today social studies exam,0,2
503,"I have to primarily go shopping at multiple stores, it will be research",1,5
880,"I plan to dedicate time to learning something new, like a language or instrument, for personal development",2,4
943,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
724,"I have to now charge my phone, it will be research",0,2
861,I have to take the by tomorrow social studies exam,0,2
55,I plan to binge-watch the latest season of a highly recommended series,3,2
545,I have to take the easy code exam,2,3
8,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
414,I have to take the now civil engineering exam,0,4
989,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
252,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
624,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
200,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
431,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
60,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
637,"I have to urgently find something to eat, it will be thorough",0,2
106,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
965,"I have to easy cook for my family, it will be thorough",1,4
907,I have to take the sometime this week physics exam,2,4
982,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
879,"I have to eventually charge my laptop, it will be flip through",2,1
855,I have to eventually study for the economics exam,3,4
505,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
494,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
966,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
330,I have to now study for the code exam,0,6
727,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
237,I have to research vacation spots,2,2
140,I have to organize the closet,2,1
887,I have to practice guitar,1,4
455,"I need to visit the bank for work-related financial transactions, requiring careful planning and time management",1,2
865,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
466,"I have to when i can garden my plants, it will be easy",3,2
132,I have to take the eventually communications exam,2,2
261,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
695,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
402,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
679,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
205,I have to take the now GMAT exam,0,2
651,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
684,I have to eventually study for the economics exam,3,4
964,"I have to when i can go shopping for a TV, it will be quick",3,2
216,I have to clean the windows,1,1
27,"I have to required cook for my family, it will be deliberately",0,4
993,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
199,I have to prepare for the job interview,1,2
218,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
628,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
896,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
655,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
432,I have to study for the MCAT,1,3
665,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
186,I have to soon study for the engineering exam,2,6
542,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
945,"I have to by tomorrow go shopping at multiple stores, it will be short",1,2
982,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
194,"I plan to explore a new hobby or activity I've been curious about, like pottery or photography",2,3
163,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
200,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
96,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
816,I have to take the soon economics exam,1,2
436,I have to take the sometime this week SAT exam,2,2
569,I have to do the laundry,1,1
38,I have to mow the lawn,1,1
174,I have to visit grandparents,2,1
408,I plan to watch a new or favorite movie to relax and unwind after a long day,3,2
662,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
333,"I have to when i can go shopping at multiple stores, it will be quick",3,3
165,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
439,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
192,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
847,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
3,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
836,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
409,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
375,"I have to soon meal prep for my week, it will be tough",0,4
908,"I have to first go shopping at multiple stores, it will be hard",1,4
848,I have to mow the lawn,3,1
796,I have to soon study for the history exam,2,4
985,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
543,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
73,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
379,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
286,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
361,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
602,"I have to urgently visit my grandparents, it will be easy",1,1
369,I have to take the soon english exam,1,2
329,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
781,I have to take the soon liberal arts exam,1,2
615,I have to today study for the physics exam,0,6
688,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
901,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
721,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
866,I have to eventually study for the engineering exam,3,6
276,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
537,I have to urgent study for the social studies exam,2,4
864,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
373,"I have to when i can go to a restaurant, it will be flip through",3,1
37,"I have to quickly cook for my family, it will be flip through",0,2
998,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
490,"I have to now visit my grandparents, it will be lengthy",1,3
769,"I need to visit the bank for work-related financial transactions, requiring careful planning and time management",1,2
512,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
812,I have to schedule dentist appointment,2,2
85,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
129,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
991,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
705,"I have to primarily cook for my family, it will be time-intensive",0,4
913,I have to attend online course,1,2
531,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
268,I have to attend yoga class,1,1
668,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
332,I have to take the sometime this week physics exam,2,4
269,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
822,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
68,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
375,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
564,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
280,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
570,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
693,"I have to now go shopping at multiple stores, it will be fastly",0,1
474,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
480,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
566,"I have to quickly meal prep for next week, it will be lengthy",0,4
520,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
539,"I have to primarily go shopping for clothes, it will be slowly",2,3
747,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
17,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
560,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
273,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
372,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
513,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
649,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
327,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
277,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
125,"I plan to dedicate quality time to being with family, sharing meals, conversations, and activities",2,3
813,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
957,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
680,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
845,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
815,I have to take the now social studies exam,0,2
387,I have to thorough study for the social studies exam,2,5
94,I plan to visit the dentist for a routine cleaning and to ensure dental health is maintained,1,1
42,I have to water the plants,2,1
515,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
23,I have to hard study for the electrical engineering exam,2,8
876,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
248,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
72,I have to take the today LSAT exam,0,2
488,"I have to crucial clean my room, it will be deliberately",1,3
381,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
747,I have to apply for jobs,3,3
745,"I have to necessary visit my coworker, it will be quick",2,1
92,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
92,"I have to by today clean the house, it will be speed",1,2
540,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
286,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
803,I have to urgent study for the communications exam,2,4
259,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
73,I have to clean the house,3,1
730,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
335,I have to research vacation spots,1,1
264,"I need to reach out to team members for updates, collaboration, or to provide support on ongoing tasks",2,2
416,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
310,I have to take the easy GMAT exam,2,1
779,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
295,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
912,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
942,I plan to binge-watch the latest season of a highly recommended series,3,2
3,I have to urgent study for the history exam,2,4
780,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
961,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
504,I have to take the important MCAT exam,1,2
167,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
108,I have to thorough study for the biology exam,2,6
899,I have to schedule dentist appointment,1,1
824,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
50,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
754,I have to workout at the gym,2,2
48,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
777,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
211,I plan to watch a new or favorite movie to relax and unwind after a long day,3,2
658,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
876,"I have to by today go shopping at multiple stores, it will be learn",0,5
803,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
147,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
760,"I have to crucial visit my friend, it will be hard",2,3
517,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
